Title,UrlName,Summary,Language,IsVisibleInPkb,IsVisibleInCsp,IsVisibleInPrm
"What Happens When Your Trial Ends","what-happens-when-your-trial-ends","<p>If no payment method is added before your 14-day trial ends, your workspace automatically converts to the Free plan rather than being deleted. Any data or configuration created beyond Free plan limits (extra seats, storage over 2GB, premium integrations) becomes read-only until you upgrade again — nothing is deleted. You'll receive reminder emails at 7 days, 3 days, and on the final day of your trial with a direct link to add a payment method and continue uninterrupted on your trial plan.</p>","en_US","TRUE","TRUE","FALSE"
"Applying a Coupon or Promo Code","applying-a-coupon-or-promo-code","<p>To apply a promotional code to your subscription:</p><ol><li>Go to Billing Settings > Plan.</li><li>Click Have a promo code?</li><li>Enter the code exactly as provided (codes are case-sensitive).</li><li>Click Apply — the discount and its expiration, if any, will display before you confirm.</li><li>Confirm your plan change or renewal to lock in the discounted rate.</li></ol><p>Only one promo code can be active per workspace at a time; applying a new code replaces the previous one.</p>","en_US","TRUE","TRUE","FALSE"
"Tax Exemption Certificates","tax-exemption-certificates","<p>Nonprofit, government, and educational organizations with valid tax-exemption status can submit a certificate to be excluded from sales tax on future invoices. Email your certificate to billing@nimbusworkspace.com along with your workspace ID. Processing takes 3–5 business days, and exemption applies to invoices generated after approval — it is not retroactive to past invoices. Certificates must be renewed with Nimbus Workspace whenever your organization's exemption status is renewed by the issuing authority, typically annually.</p>","en_US","TRUE","TRUE","FALSE"
"Multi-Currency Invoicing","multi-currency-invoicing","<p>Self-serve Team and Business plans are billed in USD regardless of your organization's location. Enterprise customers on an annual contract can request invoicing in EUR, GBP, AUD, or CAD through their account executive; the exchange rate is locked at contract signing and re-evaluated at each annual renewal. Multi-currency invoicing is not available for monthly self-serve plans. All invoices, regardless of currency, itemize the same line items — base subscription, add-ons, tax, and any proration.</p>","en_US","TRUE","TRUE","FALSE"
"Enterprise Purchase Order (PO) Billing","enterprise-purchase-order-po-billing","<p>Enterprise customers can pay against a Purchase Order instead of a credit card. To set this up, your account executive issues a formal quote; once you return a signed order form and PO number, Nimbus Workspace generates a NET-30 invoice referencing that PO number. PO-based invoices are sent directly to your accounts payable contact rather than charged automatically. Renewal invoices are generated 45 days before the contract end date to allow time for a new PO to be issued if needed.</p>","en_US","TRUE","TRUE","FALSE"
"Downloading Past Invoices as PDF","downloading-past-invoices-as-pdf","<p>To download a copy of any past invoice:</p><ol><li>Go to Billing Settings > Invoice History.</li><li>Find the invoice by date or invoice number using the search field.</li><li>Click the row to expand the line-item detail.</li><li>Click Download PDF in the top right of the expanded view.</li><li>The PDF includes your company's billing address and tax ID if one is on file, suitable for expense reporting or accounting records.</li></ol>","en_US","TRUE","TRUE","FALSE"
"Failed Payment & Dunning Emails","failed-payment-and-dunning-emails","<p>If a scheduled charge fails (expired card, insufficient funds, bank decline), Nimbus Workspace retries automatically after 1, 3, and 7 days, sending a dunning email reminder at each attempt with a link to update your payment method. Your workspace remains fully functional during the retry window. If all three retries fail, the workspace is downgraded to a restricted state (read-only for anything beyond Free plan limits) until a valid payment method is added and the outstanding balance is charged.</p>","en_US","TRUE","TRUE","FALSE"
"Updating Your Billing Contact","updating-your-billing-contact","<p>The billing contact receives all invoices, payment-failure notices, and renewal reminders — they don't need to be a workspace Admin. To update it, go to Billing Settings > Billing Contact, enter the new name and email address, and click Save. You can also add a secondary billing contact (Business and Enterprise plans only) so notices go to two recipients, useful when finance and IT need visibility into the same billing events.</p>","en_US","TRUE","TRUE","FALSE"
"Understanding Add-On Charges","understanding-add-on-charges","<p>Add-ons are billed separately from your base subscription and appear as distinct line items on your invoice. Current add-ons include extra pooled storage blocks (100GB increments), the premium integrations bundle (advanced Jira and GitHub sync), and priority support (guaranteed 4-hour response SLA). Add-ons purchased mid-cycle are prorated like a seat addition; removing an add-on takes effect at your next renewal, consistent with the downgrade policy for the base plan.</p>","en_US","TRUE","TRUE","FALSE"
"Understanding Enterprise Custom Pricing","understanding-enterprise-custom-pricing","<p>Enterprise pricing is quoted per organization based on seat count, contract length, data residency requirements, and any add-ons like SCIM provisioning or a dedicated customer success manager. There is no public list price for Enterprise — request a quote through the in-app Contact Sales link or your account executive. Enterprise quotes typically include volume-based per-seat discounts that improve at higher seat tiers and multi-year commitment discounts for 2- and 3-year terms.</p>","en_US","TRUE","TRUE","FALSE"
"Cancelling Your Subscription","cancelling-your-subscription","<p>To cancel your Nimbus Workspace subscription:</p><ol><li>Go to Billing Settings > Plan.</li><li>Click Cancel Subscription at the bottom of the page.</li><li>Select a cancellation reason from the short survey (optional but helps us improve).</li><li>Confirm cancellation — you'll see the exact date access changes.</li><li>Your workspace remains fully functional through the end of the current paid period, then automatically converts to the Free plan; no further charges occur.</li></ol>","en_US","TRUE","TRUE","FALSE"
"Reactivating a Cancelled Account","reactivating-a-cancelled-account","<p>If you cancelled and your workspace converted to the Free plan, all your data is preserved and reactivating is immediate:</p><ol><li>Log in to your workspace as before — cancellation does not lock you out.</li><li>Go to Billing Settings > Plan.</li><li>Select the plan you'd like to reactivate on.</li><li>Enter or confirm your payment method.</li><li>Confirm — full plan features are restored immediately, with no re-import needed.</li></ol><p>Workspace data is retained for 90 days after cancellation before any purge, well beyond typical reactivation windows.</p>","en_US","TRUE","TRUE","FALSE"
"Volume Discounts for Large Teams","volume-discounts-for-large-teams","<p>Organizations purchasing 100 or more seats on an annual Business or Enterprise plan qualify for tiered volume discounts, ranging from 5% at 100 seats to 20% at 1,000+ seats. Volume pricing is automatically calculated on annual Business plan quotes generated through Contact Sales, and is built into every Enterprise quote by default. Volume discounts apply to the base subscription only, not to add-ons, and require an annual (not monthly) commitment.</p>","en_US","TRUE","TRUE","FALSE"
"Non-Profit and Education Discounts","non-profit-and-education-discounts","<p>Registered nonprofits and accredited educational institutions qualify for a 30% discount off standard Team and Business plan pricing. To apply, submit proof of nonprofit or education status (a 501(c)(3) determination letter, or a .edu domain verification) through Contact Sales. Approved discounts apply at the next renewal and must be re-verified annually. The discount can be combined with annual billing savings but not with other promotional codes.</p>","en_US","TRUE","TRUE","FALSE"
"Contract Renewal Notices","contract-renewal-notices","<p>Annual and Enterprise contracts trigger an automatic renewal notice 60 days before the contract end date, sent to your billing contact and account owner, followed by a second reminder at 30 days. Contracts renew automatically at the then-current rate unless cancelled before the renewal date or a new negotiated rate is in place. Enterprise customers working with an account executive typically begin renewal quote discussions at the 90-day mark to allow time for procurement review.</p>","en_US","TRUE","TRUE","FALSE"
"Billing Cycle Start Date Changes","billing-cycle-start-date-changes","<p>Your billing cycle start date is fixed to the day you first subscribed and generally cannot be changed without cancelling and resubscribing, which would forfeit any pro-rated time remaining. Enterprise customers can request a one-time billing-date alignment (for example, to match a fiscal year start) through their account executive; this is handled as a one-time prorated adjustment invoice rather than a plan change, and is available only at contract renewal or upon initial signing.</p>","en_US","TRUE","TRUE","FALSE"
"VAT and GST on International Invoices","vat-and-gst-on-international-invoices","<p>Nimbus Workspace charges VAT, GST, or other applicable sales tax based on your workspace's registered billing country, in compliance with local tax law. If your organization has a valid VAT or GST registration number, add it under Billing Settings > Tax Information — invoices generated afterward will apply the reverse-charge mechanism where applicable, showing 0% tax with your registration number referenced. Adding a tax ID does not affect previously issued invoices.</p>","en_US","TRUE","TRUE","FALSE"
"Understanding Usage-Based Overage Charges","understanding-usage-based-overage-charges","<p>Storage and API usage on Team and Business plans are pooled allowances, not hard caps — exceeding your plan's included storage or API rate limit doesn't block usage but triggers an overage charge on your next invoice (billed per additional 10GB block for storage; API overages are throttled per FR2.4-style rate limiting rather than billed). Enterprise plans typically negotiate unlimited storage with a fair-use policy instead of overage billing. You can monitor current usage against your plan limits from the Admin Console usage dashboard.</p>","en_US","TRUE","TRUE","FALSE"
"Splitting an Invoice Across Departments","splitting-an-invoice-across-departments","<p>Business and Enterprise plans support cost-center tagging so a single consolidated invoice can be split for internal chargeback:</p><ol><li>Go to Billing Settings > Cost Centers.</li><li>Create a cost center for each department (e.g., Engineering, Marketing).</li><li>Assign each user to a cost center from the Team Directory.</li><li>Generate a Cost Center Breakdown report from Billing Settings > Reports.</li><li>Export the breakdown as CSV for your finance team — Nimbus Workspace still issues one invoice; the breakdown is informational, not a split billing arrangement.</li></ol>","en_US","TRUE","TRUE","FALSE"
"Setting a Spending Limit for Add-Ons","setting-a-spending-limit-for-add-ons","<p>Admins can cap how much any user is allowed to spend on self-serve add-ons without additional approval:</p><ol><li>Go to Billing Settings > Spending Controls.</li><li>Toggle on Require approval for add-on purchases.</li><li>Set a monthly spending limit per workspace.</li><li>Choose which roles can approve requests that exceed the limit (Owner and Admin by default).</li><li>Save — any add-on purchase attempt beyond the limit now generates an approval request instead of charging immediately.</li></ol>","en_US","TRUE","TRUE","FALSE"
"What's Included in the Enterprise Plan","what-s-included-in-the-enterprise-plan","<p>Enterprise includes everything in Business (SSO, advanced reporting, 250GB+ storage) plus SCIM user provisioning, unlimited storage with a fair-use policy, a dedicated customer success manager, a custom Data Processing Agreement, priority support with a 4-hour SLA, single-tenant API keys, and support for a custom data residency region. Enterprise is the only plan tier that supports Purchase Order billing and multi-year contract terms.</p>","en_US","TRUE","TRUE","FALSE"
"Free Plan Limitations","free-plan-limitations","<p>The Free plan supports up to 5 users, 2GB of pooled file storage, unlimited projects and tasks, and access to the mobile apps, but does not include automations, SSO, advanced reporting, guest access, or API access beyond basic read-only endpoints. Free plan projects can be upgraded to a paid plan at any time with no data migration required — all existing tasks, comments, and files carry over immediately once you upgrade.</p>","en_US","TRUE","TRUE","FALSE"
"How to Read Your Billing History","how-to-read-your-billing-history","<p>Billing Settings > Invoice History lists every invoice in reverse chronological order, showing the date, invoice number, amount, and payment status (Paid, Pending, Failed). Clicking a row expands the full line-item breakdown, including any proration, add-ons, tax, and discounts applied. A Payment Status filter lets you quickly find failed or pending charges, and a date-range filter supports pulling a full year's history for expense reconciliation.</p>","en_US","TRUE","TRUE","FALSE"
"Payment Declined — What To Do","payment-declined-what-to-do","<p>A declined payment usually means an expired card, insufficient funds, or your bank's fraud filter blocking an unfamiliar merchant charge. First, confirm your card details and expiration date under Billing Settings > Payment Method. If details are correct, contact your card issuer to authorize charges from ""Nimbus Workspace Inc."" Nimbus Workspace automatically retries a declined charge at 1, 3, and 7 days; you can also trigger a manual retry immediately after updating your payment method rather than waiting for the next scheduled attempt.</p>","en_US","TRUE","TRUE","FALSE"
"Switching From Monthly to Annual Billing","switching-from-monthly-to-annual-billing","<p>Switching to annual billing locks in a discounted rate and consolidates twelve payments into one. From Billing Settings > Plan, select Switch to Annual — the change takes effect at your next monthly renewal date, at which point you're charged the full annual amount and your renewal date shifts to a yearly cadence. There's no mid-month proration for this switch; it simply takes effect at the next scheduled renewal.</p>","en_US","TRUE","TRUE","FALSE"
"Requesting a Custom Enterprise Contract","requesting-a-custom-enterprise-contract","<p>Organizations needing custom contract terms (a Master Service Agreement, non-standard payment terms, a specific liability cap, or a custom Data Processing Agreement) should work with an account executive rather than self-serve billing:</p><ol><li>Submit a request via the in-app Contact Sales link, selecting Custom Contract.</li><li>An account executive reaches out within 1 business day to scope requirements.</li><li>Legal and Security review any requested contract or DPA changes (typically 5–10 business days).</li><li>A redlined agreement is circulated for signature via the org's chosen e-signature tool.</li><li>Once signed, billing converts to the negotiated terms at the next renewal or immediately, per the contract's effective date.</li></ol>","en_US","TRUE","TRUE","FALSE"
"Understanding Seat True-Up at Renewal","understanding-seat-true-up-at-renewal","<p>Annual and Enterprise contracts are priced for a committed seat count at signing. If your actual active-user count exceeds that commitment during the year, a true-up invoice is generated at renewal for the additional seats, prorated for the portion of the year they were active. True-up never happens mid-contract — only at renewal — so adding users during the year doesn't trigger an immediate extra charge, only a reconciliation at the next annual invoice.</p>","en_US","TRUE","TRUE","FALSE"
"Billing Support Contact Options","billing-support-contact-options","<p>Billing questions can be routed through in-app chat (select the Billing topic for fastest routing), email at billing@nimbusworkspace.com, or, for Enterprise customers, directly through your dedicated customer success manager. Standard billing support responds within 1 business day; Enterprise's 4-hour SLA also covers billing inquiries. Have your invoice number or workspace ID ready — it lets support pull up your account immediately without additional verification steps.</p>","en_US","TRUE","TRUE","FALSE"
"Gift or Sponsored Subscriptions","gift-or-sponsored-subscriptions","<p>A third party (a parent company, an accelerator program, or a partner organization) can sponsor a workspace's subscription by being added as an alternate billing contact with payment authorization. Contact Billing Support with written consent from both the workspace owner and the sponsoring party to set this up. Sponsored subscriptions still show standard invoices to the workspace owner for transparency, but charges route to the sponsor's payment method instead.</p>","en_US","TRUE","TRUE","FALSE"
"Currency Conversion and Exchange Rate Timing","currency-conversion-and-exchange-rate-timing","<p>For Enterprise contracts invoiced in a non-USD currency, the exchange rate is locked at the time of contract signing or renewal, not recalculated per invoice — so your per-seat local-currency price stays stable for the full contract term even if exchange rates fluctuate. The rate is re-evaluated only at the next annual renewal, using the prevailing rate at that time, and any change is disclosed in the renewal quote before you commit.</p>","en_US","TRUE","TRUE","FALSE"
"Consolidated Billing for Multiple Workspaces","consolidated-billing-for-multiple-workspaces","<p>Organizations running more than one Nimbus Workspace (for example, separate workspaces per subsidiary) can request consolidated billing through Enterprise sales, which combines all workspaces onto a single invoice and payment method while keeping each workspace's data, users, and admin permissions fully separate. Consolidated billing is configured by Nimbus Workspace's billing operations team and cannot currently be self-served — request it via Contact Sales, referencing all workspace IDs to include.</p>","en_US","TRUE","TRUE","FALSE"
"End-of-Life Plan Migration (Legacy Plans)","end-of-life-plan-migration-legacy-plans","<p>Customers still on a discontinued legacy plan tier (from before the current Free/Team/Business/Enterprise structure) will receive a migration notice at least 90 days before the legacy plan is retired, along with a recommended equivalent current plan and any pricing grandfathering available. No action is required before the notice period ends — if you take no action, your workspace migrates automatically to the recommended plan at the stated date, preserving all existing data and configuration.</p>","en_US","TRUE","TRUE","FALSE"
"Resetting Your Password","resetting-your-password","<p>If you've forgotten your password:</p><ol><li>Go to the Nimbus Workspace login page and click Forgot Password.</li><li>Enter the email address associated with your account.</li><li>Check your inbox for a password reset email (arrives within a few minutes).</li><li>Click the reset link, which is valid for 60 minutes.</li><li>Enter a new password meeting the minimum complexity requirements and confirm.</li></ol><p>If you don't receive the email, check your spam folder or confirm you're using the correct sign-in email — SSO-enabled accounts don't use a Nimbus Workspace password at all.</p>","en_US","TRUE","TRUE","FALSE"
"Setting Up Two-Factor Authentication (2FA)","setting-up-two-factor-authentication-2fa","<p>To enable 2FA on your account:</p><ol><li>Go to Account Settings > Security.</li><li>Toggle on Two-Factor Authentication.</li><li>Choose an authentication method: an authenticator app (TOTP) or SMS text message.</li><li>If using an authenticator app, scan the displayed QR code and enter the 6-digit code to confirm.</li><li>Save your backup codes somewhere safe — they're the only way back in if you lose access to your authentication method.</li></ol>","en_US","TRUE","TRUE","FALSE"
"Adding a Teammate to Your Workspace","adding-a-teammate-to-your-workspace","<p>To invite a new teammate:</p><ol><li>Go to Team Directory from your workspace admin console.</li><li>Click Invite Member.</li><li>Enter their email address and select a role (Admin, Member, or Guest).</li><li>Optionally assign them to specific projects during invite.</li><li>Click Send Invite — they'll receive an email with a link to set up their account.</li></ol><p>Invited users consume a seat as soon as they accept, not at the moment of invitation.</p>","en_US","TRUE","TRUE","FALSE"
"Removing a User from Your Workspace","removing-a-user-from-your-workspace","<p>To remove a teammate, go to Team Directory, find the user, and select Deactivate from the row's action menu. Deactivating immediately revokes their access and frees their seat for reassignment, but preserves their historical activity (comments, task completions) attributed to their name for audit purposes. Deactivated users can be reactivated later without losing their history. To permanently delete a user's data entirely, use Delete User instead, which is irreversible and typically used only for compliance-driven removals.</p>","en_US","TRUE","TRUE","FALSE"
"Understanding User Roles and Permissions","understanding-user-roles-and-permissions","<p>Nimbus Workspace has four built-in roles: Owner (full control, including billing and workspace deletion — exactly one per workspace), Admin (manage users, projects, and settings, no billing access by default), Member (create and edit tasks/projects they're added to), and Guest (view and comment only on projects explicitly shared with them, no seat consumed). Business and Enterprise plans additionally support custom roles built from granular permission sets for teams needing finer-grained access control.</p>","en_US","TRUE","TRUE","FALSE"
"Creating a Custom Permission Set","creating-a-custom-permission-set","<p>Business and Enterprise plans can define custom roles beyond the four built-in ones:</p><ol><li>Go to Team Directory > Roles & Permissions.</li><li>Click Create Custom Role.</li><li>Name the role and select individual permissions (create projects, delete tasks, manage integrations, view billing, etc.).</li><li>Save the role.</li><li>Assign it to users from their profile in the Team Directory.</li></ol><p>Custom roles can be edited later; existing users assigned to a role automatically inherit any permission changes.</p>","en_US","TRUE","TRUE","FALSE"
"Managing Guest Access","managing-guest-access","<p>Guests are external collaborators given view/comment access to specific shared projects without consuming a paid seat. To invite a guest, open the project, click Share, enter their email, and select Guest as the access level. Guests can comment on tasks and upload files but cannot create new tasks, change project settings, or see other projects in your workspace. Admins can review and revoke all active guest access workspace-wide from Team Directory > Guest Access.</p>","en_US","TRUE","TRUE","FALSE"
"Changing Your Account Email Address","changing-your-account-email-address","<p>To change the email address used to sign in, go to Account Settings > Profile, click Change next to your email, and enter the new address. A verification link is sent to the new email; your sign-in email doesn't change until you click that link, which prevents accidental lockouts from a typo. If your account uses SSO, your email is managed by your identity provider and must be changed there rather than in Nimbus Workspace directly.</p>","en_US","TRUE","TRUE","FALSE"
"Updating Your Display Name and Avatar","updating-your-display-name-and-avatar","<p>Go to Account Settings > Profile to update your display name, profile photo, and job title as shown to teammates across tasks, comments, and mentions. Changes take effect immediately across the workspace, including in past comments (the name shown always reflects your current profile, not a historical snapshot). Profile photos support JPG and PNG up to 5MB; if none is uploaded, initials are shown instead on a colored avatar.</p>","en_US","TRUE","TRUE","FALSE"
"Merging Duplicate User Accounts","merging-duplicate-user-accounts","<p>If a teammate accidentally created two accounts (for example, signing up with both a personal and work email), Admins can merge them:</p><ol><li>Go to Team Directory and identify the duplicate accounts.</li><li>Select both accounts and choose Merge Accounts from the bulk action menu.</li><li>Choose which account to keep as the primary.</li><li>Confirm — all tasks, comments, and project memberships from the secondary account transfer to the primary.</li><li>The secondary account is deactivated automatically once the merge completes.</li></ol><p>This action cannot be undone, so confirm the correct primary account before proceeding.</p>","en_US","TRUE","TRUE","FALSE"
"Transferring Workspace Ownership","transferring-workspace-ownership","<p>Every workspace has exactly one Owner with full billing and deletion authority. To transfer ownership:</p><ol><li>Go to Team Directory > Workspace Settings.</li><li>Select Transfer Ownership.</li><li>Choose an existing Admin as the new Owner (the recipient must already have an Admin role).</li><li>Confirm — the recipient receives an email they must accept within 7 days.</li><li>Once accepted, the previous Owner is automatically reassigned the Admin role.</li></ol>","en_US","TRUE","TRUE","FALSE"
"Deactivating vs. Deleting a User","deactivating-vs-deleting-a-user","<p>Deactivating a user immediately revokes login access and frees their seat, while preserving their name on historical comments, task assignments, and audit logs — this is the recommended default for offboarding. Deleting a user permanently removes their profile information and reassigns their identity in historical records to ""Former User,"" which is irreversible. Use deletion only when required for a specific compliance or data-minimization request, since it removes attribution from your workspace's history.</p>","en_US","TRUE","TRUE","FALSE"
"Bulk Inviting Users via CSV","bulk-inviting-users-via-csv","<p>To invite many users at once instead of one at a time:</p><ol><li>Go to Team Directory > Invite Member > Bulk Invite.</li><li>Download the CSV template (columns: Email, Role, Project Assignment).</li><li>Fill in one row per user and save the file.</li><li>Upload the completed CSV.</li><li>Review the preview of parsed rows, then click Send Invites — up to 500 rows can be processed in a single upload.</li></ol>","en_US","TRUE","TRUE","FALSE"
"Managing User Offboarding","managing-user-offboarding","<p>When someone leaves your organization, offboard them promptly to protect data and reclaim their seat:</p><ol><li>Go to Team Directory and locate the departing user.</li><li>Reassign any tasks they own to a teammate using the Reassign Tasks action.</li><li>Transfer ownership of any projects where they're listed as Project Owner.</li><li>Select Deactivate from their row's action menu.</li><li>For bulk departures (a layoff or team restructuring), use Bulk Deprovision Users to offboard multiple people in one action — removals affecting more than 25 users require an additional confirmation step.</li></ol>","en_US","TRUE","TRUE","FALSE"
"Setting a Default Role for New Members","setting-a-default-role-for-new-members","<p>Admins can set which role new invitees receive by default, so inviters don't need to select one manually each time. Go to Team Directory > Workspace Settings > Default Role and choose Member, Admin, or a custom role (Business/Enterprise). This default applies only to future invitations; it does not change the role of anyone already in the workspace. Individual invites can still override the default at the time of sending.</p>","en_US","TRUE","TRUE","FALSE"
"Understanding Workspace Admin Privileges","understanding-workspace-admin-privileges","<p>Admins can manage users (invite, deactivate, change roles), create and configure projects workspace-wide, manage integrations, and view usage reports, but cannot access billing settings or delete the workspace itself — those remain Owner-only by default. Business and Enterprise plans can grant billing visibility to specific Admins individually via a custom permission set without making them the Owner.</p>","en_US","TRUE","TRUE","FALSE"
"Recovering a Locked-Out Account","recovering-a-locked-out-account","<p>If you're locked out after too many failed login attempts, wait 15 minutes for the automatic lockout to clear, or use the Forgot Password flow to reset your password immediately, which also clears the lockout. If you've also lost access to your 2FA method, use one of your saved backup codes; if those are unavailable too, a workspace Admin can initiate an account recovery from Team Directory > Security > Reset 2FA, which requires identity verification with Nimbus Workspace Support.</p>","en_US","TRUE","TRUE","FALSE"
"Session Timeout Settings","session-timeout-settings","<p>By default, web sessions time out after 24 hours of inactivity, requiring re-authentication. Business and Enterprise Admins can customize this under Workspace Settings > Security > Session Timeout, choosing any value between 1 and 24 hours, or enabling a shorter timeout specifically for sessions on unrecognized devices. Mobile app sessions persist longer by default (30 days) to avoid repeated logins on trusted personal devices, but can also be tightened by policy on Enterprise plans.</p>","en_US","TRUE","TRUE","FALSE"
"Managing Multiple Workspaces Under One Login","managing-multiple-workspaces-under-one-login","<p>A single Nimbus Workspace account (one email address) can belong to multiple workspaces — for example, a consultant working across several client organizations. Each workspace maintains entirely separate users, projects, and billing; your role can differ per workspace (Admin in one, Guest in another). There's no limit to how many workspaces one account can belong to, and being added to a new workspace never affects your existing memberships.</p>","en_US","TRUE","TRUE","FALSE"
"Switching Between Workspaces","switching-between-workspaces","<p>If your account belongs to more than one workspace, click your avatar in the top-left corner and select Switch Workspace from the dropdown to see the full list. Selecting a different workspace reloads the app in that workspace's context — your notifications, tasks, and settings are entirely separate per workspace. The mobile app supports the same switcher from the account menu, and remembers your last-used workspace on next launch.</p>","en_US","TRUE","TRUE","FALSE"
